City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,buraydah,26.326,43.975,16.25,39,35,3.64,SA,1674456658
112,ciputat,-6.2375,106.6956,30.26,74,75,4.63,ID,1674456738
113,deputatskiy,69.3,139.9,-39.53,100,55,1.18,RU,1674456739
114,kintampo,8.0563,-1.7306,23.88,72,2,1.47,GH,1674456739
115,yulara,-25.2406,130.9889,36.6,15,2,1.14,AU,1674456739
116,mions,45.6643,4.9499,1.17,80,100,6.17,FR,1674456740
117,axim,4.8699,-2.2405,26.31,85,7,2.34,GH,1674456740
118,bonthe,7.5264,-12.505,23.3,86,95,2.54,SL,1674456741
119,ashland,40.8167,-82.2665,-0.5,98,100,3.11,US,1674456480
120,rabaul,-4.1967,152.1721,28.85,69,100,1.63,PG,1674456741
121,port hedland,-20.3167,118.5667,35.03,49,4,8.23,AU,1674456742
122,cidreira,-30.1811,-50.2056,22.4,87,0,1.95,BR,1674456742
123,srandakan,-7.9386,110.2506,29.87,65,96,4.52,ID,1674456742
124,bereda,43.2686,-7.5406,-3.25,100,5,1.6,ES,1674456743
125,hanna,51.6334,-111.9018,-7.3,77,21,5.36,CA,1674456743
126,laguna,38.421,-121.4238,10.05,43,0,7.2,US,1674456744
127,tasiilaq,65.6145,-37.6368,-13.91,57,66,2.55,GL,1674456744
128,atambua,-9.1061,124.8925,27.26,68,100,1.51,ID,1674456744
129,terme,41.2092,36.9739,10.03,71,1,0.95,TR,1674456745
130,lorengau,-2.0226,147.2712,28.27,78,100,3.93,PG,1674456745
131,mumbwa,-14.9783,27.0619,17.49,97,100,4.48,ZM,1674456745
132,tiksi,71.6872,128.8694,-32.77,97,100,2.13,RU,1674456746
133,saskylakh,71.9167,114.0833,-29.03,88,100,1.16,RU,1674456746
134,sinnamary,5.3833,-52.95,24.14,88,86,6.05,GF,1674456746
135,leshukonskoye,64.8989,45.7622,-9.39,91,25,3.83,RU,1674456747
136,tessalit,20.1986,1.0114,16.22,16,0,3.79,ML,1674456747
137,souillac,-20.5167,57.5167,27.21,83,75,4.63,MU,1674456747
138,tuy hoa,13.0833,109.3,25.16,82,74,4.15,VN,1674456748
139,tuatapere,-46.1333,167.6833,13.17,61,14,3.17,NZ,1674456612
140,bani walid,31.7566,13.9942,9.98,51,97,1.63,LY,1674456748
141,kjopsvik,68.097,16.3742,3.93,96,100,7.41,NO,1674456748
142,norman wells,65.282,-126.8329,-20.98,84,100,1.54,CA,1674456749
143,torbay,47.6666,-52.7314,-3.57,92,0,9.77,CA,1674456749
144,hamilton,39.1834,-84.5333,0.98,94,100,2.06,US,1674456749
145,hasaki,35.7333,140.8333,6.27,74,100,3.14,JP,1674456750
146,lompoc,34.6391,-120.4579,10.08,65,0,5.36,US,1674456581
147,zhongxing,33.7039,118.6792,7.59,57,100,5.89,CN,1674456750
148,strezhevoy,60.7333,77.5889,-11.58,96,78,4.21,RU,1674456751
149,chokurdakh,70.6333,147.9167,-44.77,100,61,0.6,RU,1674456751
